cId,Cname,Street,City,StateAb,Zipcode,CTelNo,Cdob
1,Abed Abdi,309 Hcounty Road,Abbott,TX,76621-0057,5046218927,1998-02-01
2,Ismail Gulg,405 E Mesquite Street,Abbott,TX,76621-0057,8102929388,1996-12-22
3,Shakir Ali,5000 Spectrum Street,Addison,TX,75001-6880,8566368749,1992-06-07
4,Abdur Rahman,1000 County Road,Bradley,OK,73011-0121,9073854412,1989-08-03
5,Kalipada Ghoshal,Boundary Road,Bradley,OK,73011-9600,5135701893,1995-04-02
6,Manishi Dey,450 Main Street,Mound City,KS,66056-0001,4195032484,1983-09-25
7,Nandalal Bose,S Metcalf Road,Louisburg,KS,66053-0541,7735736914,1999-10-21
8,Raja Ravi Varma,2000 Forest Grove blvd,Allen,TX,75002-8811,4087523500,1999-02-19
9,Sunil Das,4000 Woodcreek Road,Carrollton,TX,75006-1911,6054142147,1982-04-01
10,Jasper Johns,2500 Sunset Ridge Drive,Rockwall,TX,75032-0006,4106558723,1973-05-08
11,Winslow Homer,11300 Juniper Lane,Irving,TX,75039-0101,2158741229,1968-07-18
12,Albert Bierstadt,400 Spruce Street,Leavenworth,KS,66048-0001,6313353414,2000-11-27
13,Edward Hopper,1500 255th Street,Hillsdale,KS,66036-0061,3104985651,1966-03-05
14,Georgia O'Keeffe,3000 Weiss Lane,Irving,TX,75039-0006,4407808425,1963-04-02
15,Modupeola Fadugba,1112 18TH Street,Plano,TX,75086-0019,9565376195,2000-05-10
16,Ekene Maduka,15TH Street,Plano,TX,75086-0015,6022774385,1994-03-21
17,Olu Amoda,200 Travis Street,Sherman,TX,75090-0005,9313139635,1999-06-12
18,Koki Tanaka,5000 W Holiday Road,Fate,TX,75087-2136,4146619598,1999-09-09
19,Tatsuo Miyajima,Bella Ranch Drive,Choctaw,OK,73020-0017,3132887937,2002-02-10
20,Li Chen,2090 County Road,Cement,OK,73017-1100,8158282147,1963-07-08
21,Zhan Wang,1600 N Santa Fe,Edmond,OK,73003-3661,6105453615,1984-09-10
